,soil,rainfall,temperature,fertilizer,irrigation,weather,yield,state,season
0,Clay,544.436489832132,31.7975122910974,False,False,Rainy,2.994,Andhra Pradesh,Kharif     
1,Clay,544.436489832132,31.7975122910974,False,False,Rainy,2.994,Madhya Pradesh,Kharif     
2,Loam,142.180040358347,15.6839075090763,False,False,Cloudy,0.962,Meghalaya,Kharif     
3,Loam,142.180040358347,15.6839075090763,False,False,Cloudy,0.962,Telangana ,Kharif     
4,Loam,327.915786525802,23.4724699986415,False,False,Sunny,2.529,Gujarat,Kharif     
5,Loam,327.915786525802,23.4724699986415,False,False,Sunny,2.529,Mizoram,Kharif     
6,Chalky,194.21441009737,36.7754389173905,False,True,Cloudy,2.779,Haryana,Kharif     
7,Peaty,774.285187343861,17.4217004074954,False,False,Sunny,4.172,Haryana,Kharif     
8,Clay,183.034406535361,27.3461507733751,True,False,Cloudy,2.832,Madhya Pradesh,Kharif     
9,Clay,183.034406535361,27.3461507733751,True,False,Cloudy,2.832,Tamil Nadu,Whole Year 
10,Clay,152.293987004572,25.8484743579946,False,False,Rainy,1.352,Andhra Pradesh,Kharif     
11,Clay,152.293987004572,25.8484743579946,False,False,Rainy,1.352,Telangana ,Kharif     
12,Silt,240.784340829722,21.9524727060989,False,False,Cloudy,0.927,Karnataka,Kharif     
13,Loam,569.89333604964,23.4608105585006,False,True,Sunny,3.581,Gujarat,Kharif     
14,Loam,308.703759313669,16.1470890496417,False,False,Sunny,2.262,Tamil Nadu,Kharif     
15,Clay,383.298844258353,29.3776783281851,False,False,Cloudy,1.544,Tripura,Kharif     
16,Peaty,148.16669720117,23.1411685088261,False,True,Cloudy,2.254,Tamil Nadu,Whole Year 
17,Peaty,148.16669720117,23.1411685088261,False,True,Cloudy,2.254,Tamil Nadu,Kharif     
18,Loam,259.296356784384,23.3140167290629,False,False,Sunny,0.849,Karnataka,Whole Year 
19,Loam,259.296356784384,23.3140167290629,False,False,Sunny,0.849,Tripura,Kharif     
20,Sandy,648.724411145199,28.5016698878463,False,False,Rainy,3.978,Gujarat,Kharif     
21,Loam,315.891956780103,29.1577627959885,True,False,Sunny,3.06,Gujarat,Kharif     
22,Sandy,383.218837570152,25.6602701211593,False,False,Rainy,2.064,Rajasthan,Kharif     
23,Clay,106.682212476821,18.6805975527628,False,False,Sunny,0.409,Assam,Kharif     
24,Clay,110.330790081763,36.6954249880907,False,False,Sunny,1.154,West Bengal,Kharif     
25,Peaty,386.105904243991,23.2115713130477,False,False,Rainy,2.405,Tamil Nadu,Rabi       
26,Sandy,227.320958200416,33.7057206553974,False,False,Sunny,0.398,Rajasthan,Kharif     
27,Peaty,227.115931522853,20.1170922124519,True,False,Cloudy,1.965,Maharashtra,Kharif     
28,Loam,242.56000957643,17.0026396607289,True,True,Cloudy,3.689,Haryana,Kharif     
29,Chalky,314.368829082129,23.3313561035314,True,False,Sunny,4.083,Karnataka,Whole Year 
30,Sandy,191.694158310991,38.0066917941185,False,False,Cloudy,0.977,Karnataka,Whole Year 
31,Sandy,191.694158310991,38.0066917941185,False,False,Cloudy,0.977,Maharashtra,Kharif     
32,Peaty,143.290008996602,25.428469468509,True,False,Sunny,2.114,Tamil Nadu,Kharif     
33,Silt,288.883140920195,27.9498502048233,False,False,Cloudy,1.538,Karnataka,Kharif     
34,Silt,288.883140920195,27.9498502048233,False,False,Cloudy,1.538,Tripura,Kharif     
35,Silt,288.883140920195,27.9498502048233,False,False,Cloudy,1.538,Tripura,Kharif     
36,Loam,313.050992567878,15.554557393754,False,True,Sunny,3.065,Haryana,Kharif     
37,Peaty,318.071972112829,22.1278853343785,False,False,Cloudy,2.731,Karnataka,Kharif     
38,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Andhra Pradesh,Kharif     
39,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Assam,Kharif     
40,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Chhattisgarh,Kharif     
41,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Himachal Pradesh,Kharif     
42,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Himachal Pradesh,Whole Year 
43,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Himachal Pradesh,Kharif     
44,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Madhya Pradesh,Kharif     
45,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Madhya Pradesh,Kharif     
46,Peaty,188.863609401577,38.4530235091418,False,False,Sunny,0.666,Maharashtra,Kharif     
