State_Name,Season,yield,Soil_Type,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Rainfall_mm
Andhra Pradesh,Kharif     ,329.5217841347511,Sandy,17.378018142674822,False,False,Cloudy,1405.84554755392
Andhra Pradesh,Kharif     ,397.8010727392491,Chalky,17.1841831325615,False,False,Cloudy,618.0029691700213
Andhra Pradesh,Rabi       ,605.6076032746777,Loam,31.244012525683058,False,False,Cloudy,646.0762058271755
Andhra Pradesh,Rabi       ,605.6076032746777,Silt,23.79771502004417,False,False,Rainy,1200.6956182093809
Andhra Pradesh,Kharif     ,415.61306107085727,Clay,17.681886839321756,False,False,Rainy,688.6444777019118
Andhra Pradesh,Rabi       ,415.61306107085727,Clay,17.681886839321756,False,False,Rainy,688.6444777019118
Andhra Pradesh,Kharif     ,421.55039051472664,Loam,39.76117346059161,False,False,Rainy,1288.373179216489
Andhra Pradesh,Kharif     ,421.55039051472664,Loam,21.35288357230217,False,False,Sunny,628.4796637961675
Andhra Pradesh,Kharif     ,47.498635550955115,Chalky,21.66406639443842,False,False,Cloudy,849.4162576248543
Andhra Pradesh,Kharif     ,377.0204196857062,Silt,21.647701218517785,False,False,Sunny,645.541231494265
Andhra Pradesh,Rabi       ,377.0204196857062,Silt,21.647701218517785,False,False,Sunny,645.541231494265
Andhra Pradesh,Kharif     ,739.1975157617389,Loam,17.170198766559096,False,False,Sunny,844.9000484922057
Andhra Pradesh,Rabi       ,736.2288510398042,Silt,27.08566002990645,False,False,Sunny,1020.7193435887922
Andhra Pradesh,Kharif     ,694.6675449327186,Silt,23.521755902055247,False,False,Cloudy,794.9418728856592
Andhra Pradesh,Kharif     ,694.6675449327186,Clay,23.844043424532533,False,False,Rainy,812.5415921438617
Andhra Pradesh,Rabi       ,694.6675449327186,Silt,23.521755902055247,False,False,Cloudy,794.9418728856592
Andhra Pradesh,Rabi       ,694.6675449327186,Clay,23.844043424532533,False,False,Rainy,812.5415921438617
Andhra Pradesh,Kharif     ,234.52451303284087,Sandy,27.44894485230881,False,False,Cloudy,932.405269736867
Andhra Pradesh,Kharif     ,558.1089677237226,Clay,37.880613149871685,False,False,Rainy,1044.409145111644
Andhra Pradesh,Kharif     ,213.743859979298,Sandy,31.18045562539297,False,False,Cloudy,625.8087966740458
Andhra Pradesh,Kharif     ,635.2942504940247,Loam,19.28315486763525,False,False,Sunny,1145.1979692778018
Andhra Pradesh,Kharif     ,564.046297167592,Sandy,16.525393500292605,False,False,Sunny,806.3488206128889
Andhra Pradesh,Kharif     ,852.0067751952573,Chalky,23.625525513931503,False,False,Sunny,644.7938799415163
Andhra Pradesh,Kharif     ,448.2683730121389,Chalky,22.719896045516048,False,False,Cloudy,805.4316866413768
Andhra Pradesh,Kharif     ,335.4591135786205,Silt,33.41387424138868,False,False,Cloudy,670.993459512775
Andhra Pradesh,Kharif     ,629.3569210501553,Chalky,27.03407547009629,False,False,Sunny,1254.8233424699079
Andhra Pradesh,Kharif     ,629.3569210501553,Loam,19.943205255360454,False,False,Sunny,606.1002338982491
Andhra Pradesh,Kharif     ,537.3283146701797,Sandy,22.2438939748252,False,False,Rainy,824.9411244786972
Andhra Pradesh,Kharif     ,887.6307518584737,Peaty,19.52488523314112,False,False,Sunny,782.6622147604515
Andhra Pradesh,Kharif     ,1036.0639879552084,Clay,36.17331762173805,False,False,Cloudy,861.8772699407439
Andhra Pradesh,Kharif     ,1036.0639879552084,Chalky,18.563738279900747,False,False,Rainy,711.8056151367915
